id,filename,bucket,duration_sec,hook_type,on_screen_text,cta_overlay,caption,first_comment,hashtags,ending_type,reserve,what_testing,posting_slot,audio_version
01,tiktok_01_pause_and_solve.mp4,challenge,8.94,pause-bait direct challenge,"Pause and solve.","Could you get this?","pause it. solve it. no cheating.","be honest — how long did it take?","#puzzlegame #braingame #logicpuzzle #pausegame #browsergame",resolved,main,"pause-bait imperative pull",Day 1 7:30 PM,tactile SFX no music
02,tiktok_02_can_you_solve.mp4,challenge,13.75,direct challenge ego-bait,"Can you solve this?","Would you solve it faster?","be honest, how long would this take you","no cheating. drop your time.","#puzzlegame #braingame #canyousolveit #logicpuzzle",resolved-with-recovery,main,"ego-challenge + tab reveal",Day 1 9:00 PM,tactile SFX no music
03,tiktok_03_looks_easy.mp4,challenge,16.22,expectation-subversion,"Looks easy. It isn’t.","Should I post level 3?","this is meaner than it looks","two mistakes before i got this clean","#puzzlegame #braingame #looksimple #harderthanitlooks",resolved-with-tension,main,"contrast hook + visible mistakes",Day 2 7:00 PM,tactile SFX no music
04,tiktok_04_escalated_fast.mp4,escalation,13.65,difficulty-curve reveal,"This escalated fast.","Want harder ones?","was fine and then it wasn’t","i got wrecked on the third row ngl","#puzzlegame #difficultyspike #braingame #logicpuzzle",resolved narrow,main,"escalation frame + tabs",Day 3 8:00 PM,tactile SFX no music
05,tiktok_05_worse_later.mp4,escalation,15.42,forward-promise part-2 bait,"It gets worse later.","Part 2?","it gets worse later. i swear.","part 2 if this gets 50 saves","#puzzlegame #logicpuzzle #part2 #braingame",harder-next-level tease,main,"forward-promise saves",Day 4 7:00 PM,tactile SFX no music
06,tiktok_06_tiny_big.mp4,satisfying,8.64,satisfying payoff,"Tiny puzzle, huge satisfaction.",,"that little click though","this one’s so clean i keep rewatching","#satisfying #puzzlegame #braingame #oddlysatisfying",resolved clean,main,"pure ASMR framing rewatch",Day 5 12:30 PM,tactile SFX no music
07,tiktok_07_clean_solve.mp4,satisfying,9.24,short satisfying flex,"Clean solve.",,"clean","no notes. no mistakes.","#satisfying #cleanrun #puzzlegame",resolved punctuated,main,"minimum viable post 9s",Day 6 11:30 AM,tactile SFX no music
08,tiktok_08_almost_ruined.mp4,near_fail,16.22,near-fail clutch,"I almost ruined it here.","This gets worse later.","came back from this","wasn’t sure i was getting out of that","#puzzlegame #clutch #almostlost #braingame",resolved after tension,main,"POV confession recovery",Day 7 9:30 PM,tactile SFX no music
09,tiktok_09_watch_last.mp4,near_fail,10.12,final-move focus,"Watch the last move.",,"watch the last move","🫣 comment if you’d have picked the wrong one","#puzzlegame #lastmove #braingame #logicpuzzle",resolved on final beat,main,"hard-mode enthusiast filter",Day 8 10:00 PM,tactile SFX no music
10,tiktok_10_didnt_expect.mp4,curiosity,13.55,hidden-gem recommendation,"Browser puzzle I didn’t expect to like.","Want harder ones?","browser games aren’t supposed to be this good","it’s free in the browser if you want to try it (link in bio)","#browsergame #indiegame #puzzlegame #hiddengem #logicpuzzle",resolved recommend,main,"discovery framing vs challenge",Day 1 9:30 PM,tactile SFX no music
r1,tiktok_r1_one_move.mp4,reserve,9.04,final-move tension,"One move left.",,"one move. that’s it.","did you see the move?","#puzzlegame #onemovewin #braingame",resolved final beat,reserve,"replacement for under-performer",on demand,tactile SFX no music
r2,tiktok_r2_looks_easy_alt.mp4,reserve,12.95,expectation-subversion alt,"Looks easy. It isn’t.","Could you get this?","it looks easier than it is","bet you miss the first row","#puzzlegame #logicpuzzle #harderthanitlooks",resolved-with-tension,reserve,"A/B vs clip 03",on demand,tactile SFX no music
r3,tiktok_r3_can_you_alt.mp4,reserve,14.72,direct challenge alt,"Can you solve this?","Part 2?","could you?","would love to see someone speedrun this one","#puzzlegame #canyousolveit #braingame",resolved after mistakes,reserve,"A/B vs clip 02",on demand,tactile SFX no music
